pmt_id,pmt_x,pmt_y,pmt_z
300609,-5326.771,-270.14325,18444.309
300610,-5272.111,-807.6577,18444.309
300612,-5001.6104,-1852.3931,18444.309
300614,-4526.3433,-2821.2913,18444.309
300616,-3865.7668,-3674.6853,18444.309
300618,-3046.9255,-4377.6377,18444.309
300620,-2103.343,-4901.3687,18444.309
300622,-1073.6492,-5224.437,18444.309
300624,-9.797694e-13,-5333.6167,18444.309
300626,1073.6492,-5224.437,18444.309
300628,2103.343,-4901.3687,18444.309
300630,3046.9255,-4377.6377,18444.309
300632,3865.7668,-3674.6853,18444.309
300634,4526.3433,-2821.2913,18444.309
300636,5001.6104,-1852.3931,18444.309
300638,5272.111,-807.6577,18444.309
300639,5326.771,-270.14325,18444.309
300641,5435.616,552.74817,18406.209
300643,5213.0815,1635.6149,18406.209
300645,4777.1226,2651.5193,18406.209
300647,4145.588,3558.8704,18406.209
300649,3344.332,4320.5205,18406.209
300651,2406.159,4905.2886,18406.209
300653,1369.4773,5289.233,18406.209
300654,827.34814,5400.6436,18406.209
300655,276.72925,5456.636,18406.209
300656,-276.72925,5456.636,18406.209
300657,-827.34814,5400.6436,18406.209
300658,-1369.4773,5289.233,18406.209
300660,-2406.159,4905.2886,18406.209
300662,-3344.332,4320.5205,18406.209
300664,-4145.588,3558.8704,18406.209
300666,-4777.1226,2651.5193,18406.209
300668,-5213.0815,1635.6149,18406.209
300670,-5435.616,552.74817,18406.209
300672,-5435.616,-552.74817,18406.209
300674,-5213.0815,-1635.6149,18406.209
300676,-4777.1226,-2651.5193,18406.209
300678,-4145.588,-3558.8704,18406.209
300680,-3344.332,-4320.5205,18406.209
300682,-2406.159,-4905.2886,18406.209
300684,-1369.4773,-5289.233,18406.209
300685,-827.34814,-5400.6436,18406.209
300686,-276.72925,-5456.636,18406.209
300687,276.72925,-5456.636,18406.209
300688,827.34814,-5400.6436,18406.209
300689,1369.4773,-5289.233,18406.209
300691,2406.159,-4905.2886,18406.209
300693,3344.332,-4320.5205,18406.209
300695,4145.588,-3558.8704,18406.209
300697,4777.1226,-2651.5193,18406.209
300699,5213.0815,-1635.6149,18406.209
300701,5435.616,-552.74817,18406.209
300837,6255.4077,269.37103,18150.408
300838,6209.095,806.1187,18150.408
300840,5979.2427,1857.7798,18150.408
300842,5572.645,2854.5254,18150.408
300843,5306.6274,3323.0098,18150.408
300845,4658.9873,4182.885,18150.408
300847,3873.6284,4919.1147,18150.408
300848,3436.4182,5233.901,18150.408
300850,2489.0972,5745.179,18150.408
300852,1468.1987,6086.6313,18150.408
300853,939.52765,6190.313,18150.408
